online_order,book_table,location,rest_type,cuisines,listed_in(type),listed_in(city)
0,0,1,66,1908,2,1
0,0,1,66,1011,2,1
0,0,1,41,511,2,1
0,0,1,22,533,2,1
0,0,1,0,551,2,1
0,0,1,66,900,2,1
0,0,1,41,628,2,1
0,0,1,66,868,2,1
0,0,1,66,1870,2,1
0,0,1,41,848,2,1
0,0,1,66,1870,2,1
0,0,1,0,551,2,1
0,0,1,42,1841,2,1
0,0,1,0,511,2,1
0,0,1,66,1889,2,1
0,0,1,41,1908,2,1
0,0,1,42,1590,2,1
0,0,1,66,1831,2,1
0,0,1,8,1447,2,1
1,0,1,66,1462,2,1
0,0,1,66,1831,2,1
0,0,1,66,1691,2,1
0,0,1,66,1694,2,1
0,0,1,42,1589,2,1
0,0,1,40,1563,2,1
0,0,1,66,941,2,1
0,0,1,40,1908,2,1
0,0,1,66,1879,2,1
0,0,1,66,1908,2,1
0,0,1,41,943,2,1
0,0,1,66,1870,2,1
0,0,1,66,954,2,1
0,0,1,16,834,2,1
0,0,1,20,798,2,1
0,0,1,41,1908,2,1
0,0,1,66,1478,2,1
0,0,1,66,147,2,1
0,0,1,66,868,2,1
0,0,1,66,1011,2,1
0,0,1,39,1569,2,1
0,0,1,20,1727,2,1
0,0,1,66,1011,2,1
0,0,1,41,1681,2,1
0,0,1,66,855,2,1
1,0,1,29,1461,2,1
0,0,1,8,1447,2,1
1,0,4,66,1908,2,1
1,1,32,29,753,2,1
1,0,1,66,1372,2,1
1,0,4,29,918,2,1
1,0,49,66,1437,2,1
1,0,1,41,1669,2,1
1,0,1,66,1077,2,1
0,0,1,66,1622,2,1
1,0,32,42,775,2,1
1,0,57,29,632,2,1
1,0,49,16,827,2,1
1,0,49,66,1447,2,1
1,0,32,66,1436,2,1
1,0,4,41,868,2,1
1,0,1,66,868,2,1
1,0,32,29,944,2,1
1,0,4,46,1596,2,1
1,0,32,22,682,2,1
1,0,4,66,1478,2,1
1,1,32,29,396,2,1
1,0,4,16,826,2,1
1,0,49,66,1372,2,1
1,0,1,68,1847,2,1
1,0,1,41,1767,2,1
1,0,1,66,868,2,1
1,0,1,66,1673,2,1
1,0,4,0,511,2,1
1,0,4,66,1074,2,1
1,0,1,66,1908,2,1
1,0,1,66,918,2,1
1,0,4,66,1913,2,1
1,0,49,66,1681,2,1
1,0,1,29,177,2,1
1,1,32,22,1021,2,1
1,0,32,16,853,2,1
1,0,49,29,1751,2,1
1,0,1,66,797,2,1
1,0,49,66,607,2,1
1,0,1,42,1743,2,1
1,0,1,66,941,2,1
1,0,4,66,1908,2,1
1,0,32,66,1776,2,1
1,0,49,66,1908,2,1
1,0,49,66,219,2,1
1,0,1,66,1870,2,1
1,0,4,66,1908,2,1
1,0,1,22,1109,2,1
1,0,4,29,752,2,1
1,0,49,29,224,2,1
1,0,1,66,1462,2,1
1,0,1,66,1908,2,1
1,0,1,66,1908,2,1
1,0,1,22,1183,2,1
1,0,1,29,1681,2,1
1,0,32,29,927,2,1
1,0,4,42,1622,2,1
1,0,4,66,1513,2,1
1,0,4,66,1694,2,1
1,0,1,66,1086,2,1
1,0,1,29,1870,2,1
1,1,32,29,487,2,1
1,0,32,66,1297,2,1
1,0,1,29,1268,2,1
1,0,85,29,1447,2,1
1,0,1,29,1920,2,1
1,0,1,22,724,2,1
1,0,49,66,1694,2,1
1,0,49,66,1870,2,1
1,0,49,29,918,2,1
1,0,4,66,1447,2,1
1,1,32,29,1769,2,1
1,0,49,66,1447,2,1
1,0,1,42,1589,2,1
1,0,32,29,202,2,1
1,1,32,29,1833,2,1
1,0,32,66,147,2,1
1,0,32,29,941,2,1
1,1,32,29,304,2,1
1,0,29,29,1908,2,1
1,0,32,16,860,2,1
1,0,32,66,1889,2,1
1,0,4,66,1767,2,1
1,0,49,66,645,2,1
0,0,4,23,1123,2,1
0,0,4,66,1834,2,1
0,0,4,0,551,2,1
0,0,29,42,1743,2,1
0,0,57,66,1908,2,1
0,0,4,29,1303,2,1
0,0,4,66,184,2,1
0,0,4,66,1694,2,1
0,0,4,42,1569,2,1
0,0,57,29,203,2,1
0,0,32,66,1908,2,1
0,0,4,6,511,2,1
0,0,4,66,1908,2,1
0,0,85,66,1447,2,1
0,0,32,66,742,2,1
1,0,85,66,1913,2,1
0,0,88,66,935,2,1
1,0,57,66,1886,2,1
1,0,32,29,167,2,1
1,0,4,68,1596,2,1
1,0,49,16,834,2,1
1,0,1,66,1687,2,1
1,0,49,66,1447,2,1
1,0,32,66,1594,2,1
1,0,32,22,1174,2,1
1,0,57,29,1462,2,1
1,0,1,66,1461,2,1
1,0,4,29,1870,2,1
1,0,1,29,1447,2,1
1,0,1,29,1447,2,1
1,0,32,29,940,2,1
1,0,49,66,1834,2,1
1,0,32,66,855,2,1
1,0,1,66,1685,2,1
1,0,4,29,1321,2,1
1,0,4,66,1622,2,1
1,0,32,66,1452,2,1
1,0,4,66,790,2,1
1,0,1,28,1172,2,1
1,0,32,42,1569,2,1
1,0,32,68,1596,2,1
1,0,32,29,1461,2,1
1,0,88,66,1622,2,1
1,0,1,0,551,2,1
1,0,1,66,1691,2,1
1,0,1,29,183,2,1
1,0,32,66,1478,2,1
1,0,49,29,1376,2,1
1,1,32,29,10,2,1
1,0,1,22,1109,2,1
1,0,49,66,1360,2,1
1,0,85,29,1886,2,1
1,0,1,40,1892,2,1
1,0,4,42,1589,2,1
1,0,4,66,1908,2,1
1,0,32,29,1431,2,1
1,0,85,29,1461,2,1
1,0,4,66,1738,2,1
1,0,4,66,1694,2,1
1,0,4,42,628,2,1
1,0,32,29,1908,2,1
1,0,32,22,86,2,1
1,0,4,66,1691,2,1
1,0,1,22,716,2,1
1,0,4,66,1908,2,1
1,0,32,66,1888,2,1
1,0,32,29,640,2,1
1,0,1,66,1462,2,1
1,0,32,29,1452,2,1
1,0,1,29,1466,2,1
1,0,4,66,1908,2,1
1,0,1,66,1461,2,1
1,0,1,66,1909,2,1
1,1,1,29,636,2,1
1,0,49,66,1671,2,1
1,0,4,22,688,2,1
1,0,49,29,868,2,1
1,0,1,22,1146,2,1
1,0,49,66,919,2,1
1,0,85,29,753,2,1
1,0,1,22,1114,2,1
1,0,1,29,1768,2,1
1,0,49,66,1325,2,1
1,0,1,66,1297,2,1
1,0,69,40,1760,2,1
1,1,32,29,1447,2,1
1,1,1,29,1447,2,1
1,0,32,42,781,2,1
1,0,1,66,1462,2,1
1,0,32,66,1622,2,1
1,0,4,66,1640,2,1
1,0,49,66,1479,2,1
1,0,1,42,1573,2,1
1,0,32,22,1121,2,1
1,0,32,66,868,2,1
1,0,1,66,1447,2,1
1,0,1,66,1622,2,1
1,0,1,29,1447,2,1
1,0,4,42,1600,2,1
1,0,32,66,1622,2,1
1,0,49,22,1140,2,1
1,0,1,68,1847,2,1
1,0,32,66,1908,2,1
1,0,49,29,1317,2,1
1,0,32,22,1194,2,1
1,0,32,16,860,2,1
1,0,1,22,1124,2,1
1,0,4,8,1459,2,1
1,0,32,29,1280,2,1
1,0,32,66,1691,2,1
1,0,4,66,1461,2,1
1,0,4,67,1660,2,1
1,0,4,66,1461,2,1
1,0,4,66,1604,2,1
1,0,4,66,1103,2,1
1,0,1,28,1208,2,1
1,0,4,22,682,2,1
1,0,4,54,772,2,1
1,0,1,29,1447,2,1
1,0,1,66,954,2,1
1,0,4,22,1174,2,1
1,0,1,29,1829,2,1
1,0,1,66,935,2,1
1,0,49,66,1447,2,1
1,0,57,66,1908,2,1
1,0,81,53,501,2,1
1,0,32,66,1832,2,1
1,0,4,29,200,2,1
1,0,1,16,793,2,1
1,0,32,45,773,2,1
1,1,32,29,1354,2,1
1,0,49,20,790,2,1
1,0,1,66,1622,2,1
1,0,49,29,1870,2,1
1,0,49,66,1011,2,1
1,0,1,66,954,2,1
1,0,1,18,781,2,1
1,0,1,66,1908,2,1
1,0,4,66,1622,2,1
1,0,1,69,1816,2,1
1,0,49,22,1121,2,1
1,0,32,16,628,2,1
1,0,4,66,1461,2,1
1,0,1,66,1870,2,1
1,0,4,66,1908,2,1
1,1,32,35,1529,2,1
1,0,4,66,954,2,1
1,0,1,20,798,2,1
1,0,4,66,1908,2,1
1,0,4,66,1908,2,1
1,0,1,66,1908,2,1
1,0,1,66,1447,2,1
1,0,85,66,1345,2,1
1,0,4,66,1686,2,1
1,0,49,66,1321,2,1
1,0,4,66,1897,2,1
1,0,4,66,1694,2,1
1,0,49,66,1447,2,1
1,0,4,66,1908,2,1
1,0,4,66,1685,2,1
1,0,32,66,793,2,1
1,0,49,29,1870,2,1
1,0,32,68,1841,2,1
1,0,1,66,1886,2,1
1,0,1,66,1494,2,1
1,0,32,66,1478,2,1
1,0,32,29,1227,2,1
1,1,32,10,500,2,1
1,0,4,66,1913,2,1
1,0,32,29,1765,2,1
1,0,32,29,765,2,1
1,0,32,66,1641,2,1
1,0,88,29,1461,2,1
1,0,4,22,723,2,1
1,1,32,29,1560,2,1
1,0,49,66,1870,2,1
1,0,1,66,1858,2,1
1,0,4,0,554,2,1
1,0,32,68,1847,2,1
1,0,1,66,941,2,1
1,0,1,29,752,2,1
1,0,4,66,1772,2,1
1,0,85,29,941,2,1
1,0,32,66,1461,2,1
1,0,4,66,1913,2,1
1,0,32,18,628,2,1
1,0,4,66,1304,2,1
1,0,1,66,940,2,1
1,0,32,20,818,2,1
1,0,1,66,1908,2,1
1,0,4,22,1190,2,1
1,0,1,66,1889,2,1
1,0,1,66,1077,2,1
1,0,49,66,1662,2,1
1,0,49,29,939,2,1
1,0,49,66,1908,2,1
1,0,32,41,1870,2,1
1,0,4,66,1738,2,1
1,0,49,42,1589,2,1
1,0,4,42,1589,2,1
1,0,1,6,549,2,1
1,0,49,66,1461,2,1
1,0,1,66,1436,2,1
1,0,49,66,1870,2,1
1,0,49,66,1433,2,1
1,0,1,40,1870,2,1
1,0,85,66,1859,2,1
1,0,29,41,1732,2,1
1,0,1,66,1919,2,1
1,0,49,41,511,2,1
1,0,49,16,1919,2,1
1,0,32,66,1688,2,1
1,0,32,0,511,2,1
1,0,32,29,1886,2,1
1,0,32,66,240,2,1
1,0,13,41,893,2,1
1,0,4,10,941,2,1
1,0,1,66,941,2,1
1,0,4,29,1671,2,1
1,0,57,45,1746,2,1
1,0,4,66,1297,2,1
1,0,1,66,853,2,1
1,0,4,66,1892,2,1
1,0,1,66,1886,2,1
1,0,1,66,1908,2,1
1,0,4,66,830,2,1
1,1,1,29,1436,2,1
1,1,32,29,1886,2,1
1,0,4,66,1870,2,1
1,0,49,66,1886,2,1
1,1,1,22,1146,2,1
1,0,4,29,1447,2,1
1,0,4,66,1227,2,1
1,0,1,66,153,2,1
1,1,32,29,1870,2,1
1,1,1,29,1497,2,1
1,0,85,66,1085,2,1
1,0,32,29,1870,2,1
1,0,49,66,886,2,1
1,0,32,29,1462,2,1
1,0,4,66,1622,2,1
1,1,32,10,171,2,1
1,0,32,66,1659,2,1
1,0,4,22,1109,2,1
1,0,1,23,1191,2,1
1,0,32,29,1462,2,1
1,1,32,34,26,2,1
1,0,1,66,1447,2,1
1,0,49,66,1447,2,1
1,0,1,66,1908,2,1
1,0,1,66,1462,2,1
1,0,32,66,1001,2,1
1,0,32,22,687,2,1
1,0,49,66,754,2,1
1,0,4,29,1371,2,1
1,0,49,66,998,2,1
1,0,1,66,1831,2,1
1,0,1,29,1303,2,1
1,0,1,22,1116,2,1
1,0,4,29,1461,2,1
1,1,1,22,1116,2,1
0,0,4,66,1622,2,1
1,0,1,40,860,2,1
1,0,4,29,1870,2,1
0,0,1,42,1589,3,1
0,0,1,68,1841,3,1
1,0,1,42,772,3,1
1,0,1,42,1743,3,1
0,0,1,3,511,3,1
0,0,1,42,511,3,1
1,0,1,68,1847,3,1
0,0,1,0,551,3,1
1,0,1,42,782,3,1
1,0,1,23,1191,3,1
0,0,1,67,1847,3,1
1,0,1,42,1569,3,1
1,0,1,22,1124,3,1
0,0,1,18,1594,3,1
1,0,1,42,1589,3,1
0,0,1,68,1847,3,1
0,0,1,0,551,3,1
1,0,1,68,1847,3,1
1,0,1,18,781,3,1
0,0,1,42,1569,3,1
0,0,1,42,1743,3,1
0,0,1,20,783,3,1
0,0,1,66,561,3,1
1,0,1,0,551,3,1
0,0,1,41,511,3,1
0,0,1,22,533,3,1
0,0,1,0,551,3,1
0,0,1,42,1589,3,1
0,0,1,0,551,3,1
0,0,1,42,1841,3,1
0,0,1,0,511,3,1
0,0,1,42,1589,3,1
0,0,1,0,511,3,1
0,0,1,42,1589,3,1
0,0,1,40,551,3,1
0,0,1,68,1841,3,1
0,0,1,39,1569,3,1
1,0,1,66,853,3,1
1,0,1,40,551,3,1
1,0,1,42,1573,3,1
0,0,1,42,1743,3,1
0,0,4,67,1418,3,1
0,0,4,42,1589,3,1
1,0,4,22,1190,3,1
1,0,4,0,554,3,1
0,0,4,6,578,3,1
0,0,4,0,551,3,1
1,0,4,0,511,3,1
0,0,4,67,1847,3,1
0,0,4,0,551,3,1
1,0,4,46,1596,3,1
1,0,4,42,1569,3,1
1,0,4,42,1589,3,1
1,0,4,29,1462,3,1
0,0,29,42,1743,3,1
1,0,4,68,1596,3,1
0,0,4,6,511,3,1
0,0,32,69,1569,3,1
1,0,4,42,1622,3,1
1,1,1,29,425,4,1
1,0,1,29,1303,4,1
1,1,1,29,636,4,1
1,0,1,66,1870,4,1
1,1,1,23,1194,4,1
1,1,1,29,375,4,1
1,1,1,29,1436,4,1
1,1,1,29,1497,4,1
0,1,1,56,1698,4,1
0,0,1,65,1246,4,1
1,0,1,22,1146,4,1
1,0,1,29,1466,4,1
1,0,1,22,724,4,1
1,0,1,22,1109,4,1
1,1,1,22,1146,4,1
1,1,1,22,1116,4,1
0,0,1,29,1761,4,1
1,0,1,29,1461,4,1
1,0,1,29,1431,4,1
0,1,1,29,1447,4,1
0,0,1,22,1132,4,1
1,0,1,29,1268,4,1
0,0,1,10,1492,4,1
0,0,1,59,1908,4,1
1,0,1,23,1191,4,1
1,0,1,22,1109,4,1
1,0,1,29,1432,4,1
1,0,1,29,1920,4,1
0,0,1,10,1447,4,1
0,0,1,67,1847,4,1
1,0,1,22,1114,4,1
1,0,1,22,1124,4,1
0,0,1,22,85,4,1
1,0,1,66,1461,4,1
1,0,1,29,1870,4,1
1,0,1,22,1116,4,1
0,0,1,29,1447,4,1
1,0,1,22,1183,4,1
1,0,1,29,1447,4,1
0,0,1,68,1847,4,1
0,0,1,29,1447,4,1
1,0,1,29,177,4,1
1,0,1,29,1829,4,1
1,1,1,29,425,4,1
0,0,1,8,1461,4,1
0,0,1,59,1908,4,1
1,0,1,29,1447,4,1
0,0,1,29,1886,4,1
0,0,1,29,1870,4,1
0,0,1,20,783,4,1
0,0,1,66,1402,4,1
0,0,1,29,1750,4,1
1,0,1,29,1447,4,1
1,0,1,29,752,4,1
0,0,1,66,1478,4,1
0,0,1,29,1492,4,1
0,0,1,8,1447,4,1
0,0,1,66,1011,4,1
0,0,1,29,1436,4,1
0,0,1,22,1109,4,1
0,0,1,8,1623,4,1
0,0,1,22,533,4,1
0,0,1,8,1447,4,1
0,0,1,20,1784,4,1
0,0,1,29,1461,4,1
0,0,1,29,1481,4,1
0,0,1,66,1830,4,1
1,0,1,29,1768,4,1
1,0,1,29,1447,4,1
1,0,1,20,798,4,1
0,0,1,66,941,4,1
0,0,1,22,712,4,1
0,0,1,22,1174,4,1
0,0,1,29,1447,4,1
0,0,1,20,798,4,1
1,0,1,29,1322,4,1
1,0,81,53,501,4,1
1,0,1,29,1681,4,1
1,0,1,29,183,4,1
0,0,1,66,1908,4,1
1,0,1,66,153,4,1
1,0,1,66,1462,4,1
0,0,1,66,1870,4,1
0,0,1,66,1235,4,1
1,0,1,66,1077,4,1
0,0,1,66,1077,4,1
1,0,1,66,1908,4,1
1,0,1,66,1831,4,1
0,0,1,66,1908,4,1
1,0,1,66,1077,4,1
0,0,1,66,1908,4,1
1,0,1,66,1908,4,1
1,0,1,66,1908,4,1
1,0,1,66,1447,4,1
0,0,1,66,790,4,1
1,0,1,66,1011,4,1
1,0,1,66,1908,4,1
1,0,1,66,1622,4,1
1,0,1,66,941,4,1
1,0,1,66,868,4,1
0,0,1,66,1908,4,1
1,0,1,66,1691,4,1
1,0,1,66,1886,4,1
1,0,1,66,1462,4,1
1,0,1,66,1054,4,1
0,0,1,66,915,4,1
0,0,1,66,1870,4,1
1,0,1,66,954,4,1
0,0,1,66,1886,4,1
1,0,1,66,1909,4,1
1,0,1,66,1687,4,1
1,0,1,66,954,4,1
1,0,1,66,1462,4,1
0,0,1,66,1908,4,1
0,0,1,66,1908,4,1
0,0,1,66,1665,4,1
1,0,1,66,797,4,1
1,0,1,66,1908,4,1
1,0,1,66,1462,4,1
0,0,1,66,1908,4,1
0,0,1,66,1622,4,1
1,0,1,66,1685,4,1
1,0,1,66,954,4,1
0,0,1,66,1461,4,1
1,0,1,66,1681,4,1
0,0,1,66,1886,4,1
1,0,1,66,935,4,1
0,0,1,66,1478,4,1
0,0,1,66,1462,4,1
0,0,1,66,1832,4,1
0,0,1,66,1077,4,1
1,0,1,66,1673,4,1
1,0,1,66,1462,4,1
1,0,1,66,941,4,1
1,0,1,66,1436,4,1
1,0,1,66,1908,4,1
0,0,1,66,1461,4,1
1,0,1,66,1767,4,1
1,0,1,66,1908,4,1
0,0,1,66,1870,4,1
0,0,1,66,1908,4,1
1,0,1,66,961,4,1
1,0,1,66,1447,4,1
0,0,1,66,1908,4,1
0,0,1,66,561,4,1
0,0,1,66,1694,4,1
1,0,1,66,1447,4,1
0,0,1,66,1908,4,1
0,0,1,66,1908,4,1
1,0,1,66,1622,4,1
1,0,1,66,918,4,1
1,0,1,66,1889,4,1
0,0,1,66,1908,4,1
1,0,1,66,1317,4,1
1,0,1,66,868,4,1
1,0,1,66,1858,4,1
1,0,1,66,941,4,1
0,0,1,66,1870,4,1
0,0,1,66,1913,4,1
0,0,1,66,1913,4,1
0,0,1,66,900,4,1
0,0,1,66,1870,4,1
0,0,1,66,868,4,1
0,0,1,66,1913,4,1
0,0,1,66,1870,4,1
0,0,1,66,868,4,1
0,0,1,66,1889,4,1
0,0,1,66,1908,4,1
0,0,1,66,1913,4,1
0,0,1,66,1831,4,1
0,0,1,66,1908,4,1
1,0,1,66,219,4,1
1,0,1,66,868,4,1
0,0,1,66,1622,4,1
0,0,1,66,1831,4,1
0,0,1,66,1886,4,1
0,0,1,66,1691,4,1
0,0,1,66,1694,4,1
0,0,1,66,1900,4,1
0,0,1,66,868,4,1
0,0,1,66,1788,4,1
0,0,1,66,1300,4,1
0,0,1,66,1908,4,1
0,0,1,66,853,4,1
0,0,1,66,1908,4,1
0,0,1,66,1870,4,1
0,0,1,66,1681,4,1
0,0,1,66,147,4,1
0,0,1,66,1447,4,1
0,0,1,66,157,4,1
0,0,1,66,147,4,1
0,0,1,66,975,4,1
0,0,1,66,868,4,1
0,0,1,66,1908,4,1
0,0,1,66,1011,4,1
0,0,1,20,1727,4,1
0,0,1,66,1908,4,1
0,0,1,66,1011,4,1
0,0,1,66,1447,4,1
0,0,1,66,1691,4,1
0,0,1,66,1908,4,1
0,0,1,66,1478,4,1
0,0,1,66,855,4,1
1,0,1,66,1908,4,1
1,0,1,66,1886,4,1
1,0,1,6,549,4,1
1,0,1,66,1919,4,1
1,0,1,66,1461,4,1
0,0,1,66,1909,4,1
0,0,1,66,1622,4,1
1,0,1,66,940,4,1
1,0,1,66,1870,4,1
1,0,1,66,1372,4,1
0,0,32,66,1011,4,1
1,0,4,29,1461,4,1
0,0,4,29,1877,4,1
0,0,4,66,1908,4,1
0,0,4,29,1908,4,1
1,0,4,29,752,4,1
1,0,4,29,1371,4,1
1,0,4,29,1870,4,1
1,0,4,29,1870,4,1
1,0,4,66,1908,4,1
1,0,4,66,1908,4,1
0,0,57,29,1447,4,1
0,0,4,23,1123,4,1
0,0,4,65,1466,4,1
0,0,4,66,1834,4,1
1,0,4,10,941,4,1
0,0,4,66,1461,4,1
1,0,4,66,1908,4,1
0,0,4,29,1538,4,1
1,0,4,22,1190,4,1
0,0,4,66,1908,4,1
0,0,4,66,738,4,1
0,0,4,29,174,4,1
1,0,57,29,1692,4,1
1,0,32,29,1765,4,1
1,0,57,29,632,4,1
0,0,4,29,1908,4,1
0,0,4,66,1908,4,1
1,0,4,66,1227,4,1
1,0,4,66,1908,4,1
1,0,4,66,954,4,1
1,0,4,29,200,4,1
1,0,4,66,1913,4,1
0,0,4,66,1580,4,1
1,0,4,66,1908,4,1
0,0,4,66,1908,4,1
0,0,4,66,1908,4,1
1,0,32,66,240,4,1
1,0,4,66,1622,4,1
1,0,32,66,1832,4,1
1,0,4,66,1461,4,1
1,0,4,66,1227,4,1
1,0,85,29,1447,4,1
1,0,4,29,1671,4,1
1,0,4,66,1892,4,1
1,0,4,66,1691,4,1
0,0,4,66,1908,4,1
0,0,4,29,1303,4,1
0,0,4,29,941,4,1
0,0,4,66,1860,4,1
1,0,4,66,1908,4,1
0,0,4,29,1436,4,1
1,0,4,66,1694,4,1
0,0,32,66,1886,4,1
0,0,4,66,1908,4,1
0,0,57,66,1908,4,1
1,0,4,66,1686,4,1
0,0,57,29,203,4,1
0,0,4,29,1461,4,1
0,0,32,66,1908,4,1
0,0,4,66,184,4,1
0,0,4,66,1694,4,1
1,0,57,66,1908,4,1
0,0,57,10,1461,4,1
0,0,81,53,930,4,1
0,0,58,29,1478,4,1
0,0,4,29,1870,4,1
1,0,49,29,1870,4,1
1,0,57,66,1886,4,1
0,0,32,66,1908,4,1
0,0,4,66,1011,4,1
0,0,4,66,1908,4,1
0,0,4,66,1694,4,1
1,0,4,66,1304,4,1
1,0,4,66,668,4,1
1,0,4,66,1447,4,1
0,0,4,66,1685,4,1
0,0,57,66,1478,4,1
0,0,57,66,868,4,1
0,0,4,66,1691,4,1
0,0,57,66,1886,4,1
0,0,4,66,1622,4,1
0,0,57,66,868,4,1
0,0,85,66,1447,4,1
0,0,32,66,742,4,1
1,0,4,66,790,4,1
1,0,4,66,1297,4,1
0,0,4,66,868,4,1
0,0,4,66,1461,4,1
0,1,1,56,1698,5,1
0,0,1,65,1246,5,1
0,0,1,10,1447,5,1
0,0,1,8,1461,5,1
0,0,1,8,1447,5,1
0,0,1,8,1623,5,1
0,0,1,8,1447,5,1
0,0,4,65,1466,5,1
1,1,3,65,1764,0,2
1,1,3,29,261,0,2
1,0,3,29,1441,0,2
1,0,3,29,171,0,2
0,0,3,29,1275,0,2
0,1,29,29,497,0,2
0,0,29,29,1886,0,2
0,1,29,29,1461,0,2
1,1,29,29,225,0,2
0,1,29,29,1268,0,2
1,1,29,29,1870,0,2
1,1,29,29,1440,0,2
0,0,29,22,1109,0,2
0,1,29,29,941,0,2
0,0,29,29,1268,0,2
0,0,29,29,1275,0,2
1,0,0,29,1461,0,2
1,0,3,22,1113,1,2
0,1,3,22,1132,1,2
1,0,3,22,516,1,2
0,0,3,22,682,1,2
1,0,3,22,1109,1,2
1,0,3,22,682,1,2
1,0,3,51,704,1,2
0,0,3,22,352,1,2
1,0,3,22,1109,1,2
0,0,3,22,1174,1,2
0,0,3,2,533,1,2
0,0,3,22,1164,1,2
1,0,3,42,703,1,2
0,0,3,22,1109,1,2
0,1,3,23,1118,1,2
1,0,3,28,1122,1,2
0,0,3,22,1109,1,2
0,0,3,22,1184,1,2
0,0,3,23,537,1,2
0,0,3,22,1165,1,2
0,0,3,40,49,1,2
0,0,3,66,1142,1,2
1,0,29,22,1042,1,2
0,0,29,22,1132,1,2
1,0,29,22,1178,1,2
1,1,29,22,1156,1,2
0,0,29,22,1109,1,2
0,0,29,22,1146,1,2
1,0,29,28,645,1,2
1,1,29,23,1194,1,2
1,0,29,22,710,1,2
0,0,29,22,712,1,2
1,0,29,22,1032,1,2
1,0,29,22,63,1,2
1,0,29,22,649,1,2
0,0,29,22,1174,1,2
0,0,29,22,1202,1,2
0,0,29,22,1109,1,2
0,0,29,66,720,1,2
1,0,29,22,1169,1,2
1,0,29,22,716,1,2
0,0,0,22,1184,1,2
1,0,0,40,948,2,2
1,0,0,29,182,2,2
1,0,0,29,1001,2,2
1,0,3,66,1880,2,2
1,0,29,66,596,2,2
1,0,29,41,1688,2,2
1,0,0,66,619,2,2
1,0,29,41,328,2,2
1,0,29,41,730,2,2
1,0,29,41,1216,2,2
1,0,0,66,1870,2,2
1,0,0,42,772,2,2
1,0,0,66,1462,2,2
1,0,0,41,1908,2,2
1,0,29,41,874,2,2
1,0,29,40,1447,2,2
1,0,3,66,1870,2,2
1,0,0,66,1622,2,2
1,0,0,66,1870,2,2
1,0,3,41,1669,2,2
1,0,0,66,1870,2,2
1,0,0,66,833,2,2
1,0,29,41,166,2,2
1,0,3,66,1461,2,2
